arm,repeat,sample_ms
classical,2,2.2410
classical,2,2.3120
classical,2,2.2780
classical,2,2.4290
classical,2,2.4990
classical,2,2.5110
classical,2,2.4510
classical,2,2.6480
classical,2,2.7500
classical,2,2.7340
classical,2,2.4860
classical,2,2.2030
classical,2,2.2370
classical,2,2.2050
classical,2,2.2730
classical,2,2.7540
classical,2,2.7400
classical,2,2.6970
classical,2,2.9200
classical,2,3.2350
classical,2,3.2670
classical,2,3.3980
classical,2,3.6000
classical,2,3.4330
classical,2,3.3370
classical,2,3.3510
classical,2,4.2760
classical,2,3.3550
classical,2,3.3070
classical,2,3.1070
classical,2,3.0140
classical,2,2.7960
classical,2,2.8960
classical,2,3.3580
classical,2,3.2190
classical,2,3.3870
classical,2,3.3390
classical,2,3.1460
classical,2,3.0430
classical,2,3.0870
classical,2,3.1350
classical,2,3.1780
classical,2,3.2450
classical,2,3.4310
classical,2,3.6430
classical,2,3.2730
classical,2,3.2530
classical,2,3.0920
classical,2,2.9800
classical,2,2.8990
classical,2,2.9910
classical,2,3.2100
classical,2,3.2280
classical,2,3.2860
classical,2,3.4390
classical,2,3.3440
classical,2,3.3610
classical,2,3.3760
classical,2,3.4860
classical,2,3.4030
classical,2,3.3540
classical,2,3.2930
classical,2,3.4370
classical,2,3.4130
classical,2,3.2950
classical,2,3.3370
classical,2,3.2360
classical,2,3.3990
classical,2,3.3760
classical,2,3.3180
classical,2,3.2710
classical,2,3.2930
classical,2,3.3910
classical,2,3.3600
classical,2,3.3850
classical,2,3.5950
classical,2,3.4530
classical,2,3.4110
classical,2,3.4310
classical,2,3.5310
classical,2,3.4190
classical,2,3.3110
classical,2,3.3610
classical,2,3.3190
classical,2,3.4040
classical,2,3.3500
classical,2,3.3940
classical,2,3.3550
classical,2,3.3350
classical,2,3.2950
classical,2,3.2600
classical,2,3.3220
classical,2,3.3090
classical,2,3.1990
classical,2,3.0890
classical,2,3.1110
classical,2,3.1720
classical,2,3.2450
classical,2,3.2360
classical,2,3.0910
classical,2,3.4490
classical,2,3.2200
classical,2,3.3260
classical,2,3.2280
classical,2,3.4680
classical,2,3.3800
classical,2,3.1940
classical,2,3.2850
classical,2,3.3860
classical,2,3.2590
classical,2,3.5450
classical,2,3.4550
classical,2,3.4340
classical,2,3.4010
classical,2,3.5010
classical,2,3.4690
classical,2,3.4330
classical,2,3.5130
classical,2,3.3980
classical,2,3.4000
classical,2,3.4890
classical,2,3.4760
classical,3,3.4050
classical,3,3.3600
classical,3,3.4070
classical,3,3.3790
classical,3,3.3780
classical,3,3.4500
classical,3,3.3840
classical,3,3.2860
classical,3,3.2850
classical,3,3.2740
classical,3,3.3370
classical,3,3.4330
classical,3,3.3310
classical,3,3.2950
classical,3,3.3550
classical,3,3.4270
classical,3,3.3050
classical,3,3.2430
classical,3,3.1190
classical,3,3.1400
classical,3,3.1390
classical,3,3.1280
classical,3,2.9510
classical,3,2.9250
classical,3,3.0530
classical,3,3.1640
classical,3,3.2410
classical,3,3.4930
classical,3,3.4200
classical,3,3.5690
classical,3,3.4160
classical,3,3.5950
classical,3,3.6340
classical,3,3.6590
classical,3,3.7210
classical,3,3.5010
classical,3,3.5350
classical,3,3.5280
classical,3,3.5430
classical,3,3.5150
classical,3,3.6250
classical,3,3.5000
classical,3,3.3270
classical,3,3.4460
classical,3,3.7520
classical,3,3.6340
classical,3,3.5530
classical,3,3.2940
classical,3,3.3310
classical,3,3.3380
classical,3,3.2330
classical,3,3.1960
classical,3,3.2150
classical,3,3.4520
classical,3,3.3760
classical,3,3.6920
classical,3,3.5200
classical,3,3.7490
classical,3,3.7250
classical,3,3.5780
classical,3,3.5240
classical,3,3.4350
classical,3,3.5880
classical,3,3.5420
classical,3,3.5870
classical,3,3.3410
classical,3,3.5310
classical,3,3.6400
classical,3,3.3680
classical,3,3.3310
classical,3,3.3460
classical,3,3.2450
classical,3,3.4360
classical,3,3.6280
classical,3,3.3330
classical,3,3.4110
classical,3,3.3190
classical,3,3.4280
classical,3,3.5820
classical,3,3.5960
classical,3,3.5570
classical,3,3.5940
classical,3,3.3620
classical,3,3.2650
classical,3,3.1890
classical,3,3.3070
classical,3,3.3230
classical,3,3.5660
classical,3,3.6070
classical,3,3.6830
classical,3,3.6590
classical,3,3.6470
classical,3,3.9160
classical,3,3.4820
classical,3,3.3220
classical,3,3.3690
classical,3,3.3260
classical,3,3.3260
classical,3,3.4720
classical,3,3.5850
