0.000072 0.005502
0.000057 0.004577
0.000073 0.005434
0.000045 0.003999
0.000060 0.004697
0.000052 0.005732
0.000047 0.004247
0.000046 0.003572
0.000046 0.004385
0.000045 0.004651
0.000043 0.005432
0.000049 0.004157
0.000044 0.003832
0.000047 0.003876
0.000049 0.004922
0.000047 0.003571
0.000056 0.004560
0.000044 0.005033
0.000048 0.004410
0.000053 0.004088
0.000047 0.005021
0.000051 0.003981
0.000057 0.004405
0.000052 0.004236
0.000051 0.004893
0.000054 0.004826
0.000060 0.004107
0.000049 0.004847
0.000052 0.007251
0.000051 0.004250
0.000050 0.004775
0.000055 0.005456
0.000052 0.006184
0.000053 0.004567
0.000049 0.005360
0.000077 0.005021
0.000060 0.005032
0.000059 0.006231
0.000048 0.004002
0.000049 0.004627
0.000046 0.003684
0.000047 0.004365
0.000047 0.006105
0.000047 0.006034
0.000045 0.004067
0.000047 0.005138
0.000049 0.004823
0.000047 0.003972
0.000045 0.004048
0.000047 0.005257
0.000045 0.005619
0.000047 0.004760
0.000044 0.004441
0.000046 0.003906
0.000047 0.004047
0.000045 0.003708
0.000048 0.007744
0.000049 0.005749
0.000046 0.004011
0.000045 0.005717
0.000049 0.005195
0.000048 0.004505
0.000057 0.005410
0.000050 0.004756
0.000054 0.004503
0.000048 0.005293
0.000046 0.004028
0.000051 0.005463
0.000047 0.004351
0.000049 0.004057
0.000048 0.005041
0.000050 0.005210
0.000045 0.003725
0.000060 0.006691
0.000047 0.004539
0.000058 0.005004
0.000051 0.005343
0.000044 0.004679
0.000047 0.004232
0.000049 0.005095
0.000049 0.003986
0.000053 0.007130
0.000048 0.005969
0.000048 0.003977
0.000046 0.003811
0.000058 0.004753
0.000047 0.004528
0.000052 0.005774
0.000047 0.005455
0.000052 0.004887
0.000051 0.003748
0.000045 0.005502
0.000076 0.005579
0.000049 0.005209
0.000054 0.005965
0.000048 0.005541
0.000052 0.004768
0.000048 0.005326
0.000053 0.004625
0.000045 0.005107
0.000045 0.004678
0.000046 0.004567
0.000047 0.003947
0.000047 0.003926
0.000044 0.005031
0.000047 0.004756
0.000052 0.004919
0.000047 0.004014
0.000047 0.005594
0.000047 0.004423
0.000049 0.003572
0.000048 0.005060
0.000058 0.003792
0.000044 0.004216
0.000046 0.004169
0.000048 0.004068
0.000044 0.004336
0.000047 0.004873
0.000045 0.004480
0.000052 0.006589
0.000046 0.005677
0.000047 0.004929
0.000044 0.004696
0.000047 0.005179
0.000048 0.004112
0.000052 0.004144
0.000046 0.004847
0.000060 0.005091
0.000047 0.006628
0.000057 0.007054
0.000049 0.003790
0.000048 0.004289
0.000049 0.004484
0.000048 0.004111
0.000048 0.005360
0.000045 0.004063
0.000045 0.003560
0.000045 0.005720
0.000045 0.005361
0.000046 0.003961
0.000063 0.003529
0.000062 0.005388
0.000059 0.004294
0.000044 0.005056
0.000043 0.006389
0.000048 0.006336
0.000046 0.004061
0.000047 0.004617
0.000048 0.003985
0.000045 0.004548
0.000046 0.004000
0.000051 0.004485
0.000047 0.005821
0.000046 0.003728
0.000044 0.004434
0.000048 0.003840
0.000048 0.003826
0.000045 0.003947
0.000046 0.003737
0.000045 0.003663
0.000050 0.004634
0.000048 0.003723
0.000047 0.003640
0.000045 0.003901
0.000051 0.004089
0.000044 0.008158
0.000055 0.004363
0.000047 0.004548
0.000050 0.004816
0.000046 0.004812
0.000046 0.004196
0.000045 0.003853
0.000044 0.005457
0.000048 0.003875
0.000045 0.005021
0.000045 0.004248
0.000043 0.003464
0.000047 0.005849
0.000046 0.004210
0.000047 0.004896
0.000045 0.003975
0.000045 0.004045
0.000049 0.004393
0.000049 0.003537
0.000046 0.003986
0.000047 0.004480
0.000044 0.005385
0.000048 0.004687
0.000047 0.004650
0.000048 0.003734
0.000046 0.004700
0.000047 0.003968
0.000045 0.005033
0.000046 0.003806
0.000046 0.004435
0.000048 0.004280
0.000052 0.005552
0.000046 0.004730
0.000049 0.005166
0.000045 0.004675
0.000047 0.005238
0.000047 0.004622
0.000044 0.005506
0.000047 0.004828
0.000048 0.004283
0.000051 0.007211
0.000054 0.004643
0.000065 0.004962
0.000049 0.004569
0.000048 0.003896
0.000046 0.006263
0.000051 0.004300
0.000048 0.005909
0.000047 0.004326
0.000047 0.004106
0.000047 0.004140
0.000050 0.004544
0.000050 0.004327
0.000050 0.004158
0.000047 0.005116
