seq,arm,repeat,connect_ms,handshake_ms
2,hybrid,1,11.8720,18.3880
2,hybrid,1,11.0660,18.4360
2,hybrid,1,10.7970,17.1090
2,hybrid,1,11.8240,18.3750
2,hybrid,1,11.2700,19.8680
2,hybrid,1,10.8290,18.0280
2,hybrid,1,11.9950,18.0740
2,hybrid,1,11.2390,18.6960
2,hybrid,1,10.6770,18.4130
2,hybrid,1,10.7870,19.9150
2,hybrid,1,11.4760,19.1290
2,hybrid,1,11.4670,18.4440
2,hybrid,1,10.3650,18.8710
2,hybrid,1,11.0680,19.1240
2,hybrid,1,11.3090,19.0000
2,hybrid,1,11.4650,19.5410
2,hybrid,1,11.7850,17.8540
2,hybrid,1,11.0020,19.3450
2,hybrid,1,11.0390,18.3550
2,hybrid,1,11.0840,27.1170
2,hybrid,1,11.9520,22.1000
2,hybrid,1,10.8780,18.5290
2,hybrid,1,11.0640,20.9320
2,hybrid,1,11.0360,19.1140
2,hybrid,1,10.8430,20.7700
2,hybrid,1,11.2310,18.1930
2,hybrid,1,11.9020,18.6060
2,hybrid,1,11.4600,20.3900
2,hybrid,1,11.0270,18.9900
2,hybrid,1,10.8670,18.7780
2,hybrid,1,11.7140,19.5170
2,hybrid,1,11.2770,18.6120
2,hybrid,1,10.8720,21.8300
2,hybrid,1,10.7660,17.4240
2,hybrid,1,11.2750,18.1580
2,hybrid,1,11.4380,19.1830
2,hybrid,1,10.8440,17.5620
2,hybrid,1,11.3940,17.9240
2,hybrid,1,11.0740,19.6520
2,hybrid,1,11.1510,18.3040
2,hybrid,1,11.3820,18.4450
2,hybrid,1,10.6090,18.8710
2,hybrid,1,11.1340,20.2990
2,hybrid,1,11.6130,19.1300
3,pure,1,11.6430,20.1830
3,pure,1,11.0560,18.6850
3,pure,1,10.9720,19.8180
3,pure,1,11.9880,20.0190
3,pure,1,12.1040,18.1700
3,pure,1,11.3270,18.4090
3,pure,1,11.7730,18.0310
3,pure,1,12.2700,19.1540
3,pure,1,11.4160,20.4890
3,pure,1,11.1270,20.0930
3,pure,1,11.1320,17.9780
3,pure,1,10.8910,18.2040
3,pure,1,11.4740,19.6460
3,pure,1,11.4500,19.3090
3,pure,1,12.1570,18.5550
3,pure,1,12.0150,18.5590
3,pure,1,11.5050,20.1550
3,pure,1,11.1350,18.9510
3,pure,1,11.0140,18.2450
3,pure,1,11.8960,20.8280
3,pure,1,10.6160,18.2370
3,pure,1,11.0460,19.7600
3,pure,1,10.7330,18.9240
3,pure,1,10.7430,18.9920
3,pure,1,11.1200,20.3030
3,pure,1,10.5550,18.1020
3,pure,1,10.6880,18.7700
3,pure,1,10.4600,18.3020
3,pure,1,10.4370,20.1150
3,pure,1,12.2240,22.3500
3,pure,1,10.4960,19.2360
3,pure,1,10.8370,20.5660
3,pure,1,10.9550,18.3710
3,pure,1,13.5700,18.4060
3,pure,1,13.7400,21.9820
3,pure,1,11.8080,22.0400
3,pure,1,12.1920,19.6510
3,pure,1,11.0850,20.8680
3,pure,1,12.0310,19.5800
3,pure,1,11.1810,19.6440
3,pure,1,11.7830,18.1170
3,pure,1,11.0710,19.2830
3,pure,1,10.6460,18.6700
3,pure,1,11.8480,22.0690
3,pure,1,12.6100,20.0340
3,pure,1,10.8470,19.0890
3,pure,1,11.3170,19.0720
3,pure,1,11.4500,18.2660
3,pure,1,11.0690,19.3610
3,pure,1,10.6420,20.0670
3,pure,1,11.1500,17.9540
3,pure,1,11.3070,18.3520
3,pure,1,10.9740,18.9490
3,pure,1,10.9310,18.8120
3,pure,1,11.1420,19.3850
3,pure,1,11.6550,18.4830
3,pure,1,11.2250,19.5590
3,pure,1,95.8100,28.9330
3,pure,1,12.1660,19.8100
3,pure,1,11.4900,18.5320
3,pure,1,11.1120,19.6760
3,pure,1,10.9640,19.1270
